YYYYMM,SEX,MARRY,GOVT,HOM,PAGO
201901,1,1,3.9556451612903225,4.383064516129032,4.403225806451613
201901,1,3,3.864864864864865,4.054054054054054,4.054054054054054
201901,1,4,3.4444444444444446,3.4444444444444446,4.111111111111111
201901,1,5,3.893939393939394,4.090909090909091,4.257575757575758
201901,2,1,3.8714285714285714,4.2214285714285715,4.328571428571428
201901,2,3,3.883720930232558,4.372093023255814,4.186046511627907
201901,2,4,3.6818181818181817,4.363636363636363,3.8636363636363638
201901,2,5,3.6666666666666665,3.8333333333333335,4.027777777777778
201902,1, ,5.0,3.0,5.0
201902,1,1,4.032258064516129,4.306451612903226,4.435483870967742
201902,1,3,3.888888888888889,4.466666666666667,4.0
201902,1,4,3.6923076923076925,4.153846153846154,3.6153846153846154
201902,1,5,3.8529411764705883,4.176470588235294,4.323529411764706
201902,2,1,4.044117647058823,4.426470588235294,4.345588235294118
201902,2,3,3.838709677419355,4.032258064516129,3.935483870967742
201902,2,4,3.875,4.083333333333333,4.041666666666667
201902,2,5,3.5714285714285716,4.257142857142857,3.942857142857143
201903,1,1,4.062271062271062,4.315018315018315,4.487179487179487
201903,1,3,4.052631578947368,4.447368421052632,4.552631578947368
201903,1,4,3.5384615384615383,4.384615384615385,4.230769230769231
201903,1,5,3.810344827586207,4.051724137931035,4.448275862068965
201903,2,1,4.064285714285714,4.4,4.321428571428571
201903,2,3,3.65625,4.3125,4.125
201903,2,4,4.04,4.24,4.0
201903,2,5,3.857142857142857,4.142857142857143,3.9047619047619047
201904,1, ,5.0,5.0,4.0
201904,1,1,4.066914498141264,4.327137546468402,4.438661710037175
201904,1,3,3.787878787878788,4.303030303030303,4.363636363636363
201904,1,4,4.2,4.8,4.2
201904,1,5,3.806451612903226,4.112903225806452,4.532258064516129
201904,2, ,3.0,5.0,5.0
201904,2,1,4.0510948905109485,4.467153284671533,4.328467153284672
201904,2,3,3.7777777777777777,3.9722222222222223,4.194444444444445
201904,2,4,3.9411764705882355,4.529411764705882,4.176470588235294
201904,2,5,3.8,3.914285714285714,4.057142857142857
201905,1,1,4.260536398467433,4.417624521072797,4.486590038314176
201905,1,3,4.35,4.3,4.425
201905,1,4,4.4,5.0,4.6
201905,1,5,4.033333333333333,3.95,4.533333333333333
201905,2, ,5.0,5.0,4.0
201905,2,1,4.0310077519379846,4.294573643410852,4.1937984496124034
201905,2,3,3.5869565217391304,3.891304347826087,4.0
201905,2,4,4.2631578947368425,4.368421052631579,4.421052631578948
201905,2,5,3.6341463414634148,4.170731707317073,4.195121951219512
201906,1, ,3.0,3.0,4.0
201906,1,1,4.273722627737226,4.547445255474453,4.445255474452555
201906,1,3,4.17948717948718,4.538461538461538,3.9743589743589745
201906,1,4,3.6,4.6,4.3
201906,1,5,4.0,4.311475409836065,4.262295081967213
201906,2,1,3.9444444444444446,4.2063492063492065,4.277777777777778
201906,2,3,3.6176470588235294,4.529411764705882,3.9411764705882355
201906,2,4,4.1,4.4,4.25
201906,2,5,3.5135135135135136,4.1891891891891895,4.324324324324325
201907,1,1,4.246808510638298,4.425531914893617,4.48936170212766
201907,1,3,3.980392156862745,4.313725490196078,4.313725490196078
201907,1,4,4.214285714285714,4.0,3.642857142857143
201907,1,5,3.8095238095238093,4.190476190476191,4.365079365079365
201907,2,1,4.053691275167785,4.429530201342282,4.281879194630872
201907,2,3,3.8181818181818183,4.303030303030303,3.9393939393939394
201907,2,4,3.75,4.35,4.0
201907,2,5,3.7837837837837838,3.891891891891892,4.135135135135135
201908,1,1,4.1106719367588935,4.3438735177865615,4.446640316205533
201908,1,3,4.170212765957447,4.468085106382978,4.042553191489362
201908,1,4,4.125,4.5,3.75
201908,1,5,3.791044776119403,4.253731343283582,4.2835820895522385
201908,2,1,3.902097902097902,4.356643356643357,4.300699300699301
201908,2,3,3.891891891891892,4.081081081081081,3.972972972972973
201908,2,4,3.7,4.2,3.65
201908,2,5,3.8076923076923075,4.269230769230769,4.423076923076923
201909,1, ,4.0,4.0,4.5
201909,1,1,4.088709677419355,4.350806451612903,4.419354838709677
201909,1,3,4.239130434782608,4.3478260869565215,4.369565217391305
201909,1,4,4.0,4.894736842105263,4.2631578947368425
201909,1,5,3.981132075471698,4.113207547169812,4.2075471698113205
201909,2,1,3.863013698630137,4.232876712328767,4.301369863013699
201909,2,3,3.9166666666666665,4.083333333333333,4.138888888888889
201909,2,4,3.8947368421052633,4.578947368421052,3.8947368421052633
201909,2,5,3.84375,4.0,4.1875
201910,1, ,4.0,5.0,4.0
201910,1,1,4.122448979591836,4.431972789115647,4.408163265306122
201910,1,3,4.1568627450980395,4.372549019607843,4.549019607843137
201910,1,4,4.625,4.75,4.5
201910,1,5,4.0344827586206895,4.149425287356322,4.505747126436781
201910,2,1,3.8091603053435112,4.206106870229007,4.206106870229007
201910,2,3,3.71875,4.1875,4.21875
201910,2,4,4.142857142857143,4.523809523809524,4.333333333333333
201910,2,5,3.75,4.166666666666667,4.125
201911,1,1,4.177606177606178,4.55984555984556,4.428571428571429
201911,1,3,4.053571428571429,4.214285714285714,4.285714285714286
201911,1,4,4.444444444444445,4.333333333333333,4.444444444444445
201911,1,5,3.7027027027027026,4.108108108108108,4.554054054054054
201911,2,1,4.093023255813954,4.3023255813953485,4.224806201550388
201911,2,3,3.8157894736842106,4.184210526315789,3.8684210526315788
201911,2,4,3.857142857142857,4.142857142857143,3.857142857142857
201911,2,5,3.710526315789474,4.368421052631579,4.526315789473684
201912,1, ,3.6666666666666665,4.333333333333333,4.0
201912,1,1,4.214788732394366,4.514084507042254,4.53169014084507
201912,1,3,4.282051282051282,4.538461538461538,4.3076923076923075
201912,1,4,4.142857142857143,4.357142857142857,4.214285714285714
201912,1,5,3.945945945945946,4.121621621621622,4.472972972972973
201912,2,1,4.064,4.32,4.36
201912,2,3,3.65,4.3,4.05
201912,2,4,4.041666666666667,4.25,3.9166666666666665
201912,2,5,3.5483870967741935,4.096774193548387,4.096774193548387
